Tokens sorted by index with attention values (scaled to sum 350):
Position: 1, Token: 被, Attention Received: 0.3871
Position: 2, Token: 告, Attention Received: 0.4736
Position: 3, Token: 人, Attention Received: 0.4867
Position: 4, Token: 钱, Attention Received: 0.4697
Position: 5, Token: 某, Attention Received: 0.4852
Position: 6, Token: 曾, Attention Received: 1.1801
Position: 7, Token: 在, Attention Received: 0.8417
Position: 8, Token: 池, Attention Received: 2.0720
Position: 9, Token: 州, Attention Received: 0.6847
Position: 10, Token: 市, Attention Received: 0.5931
Position: 11, Token: 贵, Attention Received: 0.8083
Position: 12, Token: 池, Attention Received: 0.7247
Position: 13, Token: 区, Attention Received: 0.6984
Position: 14, Token: [UNK], Attention Received: 0.5688
Position: 15, Token: 水, Attention Received: 0.4716
Position: 16, Token: 木, Attention Received: 0.5510
Position: 17, Token: 清, Attention Received: 0.5437
Position: 18, Token: 华, Attention Received: 0.4562
Position: 19, Token: [UNK], Attention Received: 0.6421
Position: 20, Token: 房, Attention Received: 0.6760
Position: 21, Token: 地, Attention Received: 0.6681
Position: 22, Token: 产, Attention Received: 0.6801
Position: 23, Token: 售, Attention Received: 0.8082
Position: 24, Token: 楼, Attention Received: 0.8931
Position: 25, Token: 部, Attention Received: 0.9424
Position: 26, Token: 担, Attention Received: 0.8783
Position: 27, Token: 任, Attention Received: 0.7670
Position: 28, Token: 保, Attention Received: 1.0431
Position: 29, Token: 安, Attention Received: 0.8398
Position: 30, Token: ，, Attention Received: 1.3529
Position: 31, Token: 后, Attention Received: 0.7550
Position: 32, Token: 因, Attention Received: 0.7639
Position: 33, Token: 病, Attention Received: 1.0454
Position: 34, Token: 住, Attention Received: 0.5873
Position: 35, Token: 院, Attention Received: 0.5692
Position: 36, Token: 数, Attention Received: 0.6259
Position: 37, Token: 月, Attention Received: 0.4682
Position: 38, Token: ，, Attention Received: 1.1848
Position: 39, Token: 公, Attention Received: 0.6375
Position: 40, Token: 司, Attention Received: 0.6927
Position: 41, Token: 劝, Attention Received: 1.0580
Position: 42, Token: 其, Attention Received: 0.4619
Position: 43, Token: 离, Attention Received: 0.7287
Position: 44, Token: 职, Attention Received: 0.9175
Position: 45, Token: 等, Attention Received: 0.7000
Position: 46, Token: 原, Attention Received: 0.6702
Position: 47, Token: 因, Attention Received: 0.5946
Position: 48, Token: 而, Attention Received: 0.7971
Position: 49, Token: 心, Attention Received: 0.7355
